report_date,weighted_average
2021-09-23,
2021-09-22,
2021-09-21,426.96
2021-09-20,
2021-09-17,.00
2021-09-16,
2021-09-15,461.77
2021-09-14,
2021-09-13,
2021-09-10,
2021-09-09,
2021-09-08,
2021-09-07,
2021-09-03,
2021-09-02,
2021-09-01,507.05
2021-08-31,
2021-08-30,
2021-08-27,519.13
2021-08-26,
2021-08-25,
2021-08-24,471.89
2021-08-23,
2021-08-20,
2021-08-19,
2021-08-18,
2021-08-17,
2021-08-16,
2021-08-13,
2021-08-12,
2021-08-11,407.44
2021-08-10,395.94
2021-08-09,
2021-08-06,
2021-08-05,331.40
2021-08-04,379.02
2021-08-03,.00
2021-08-02,.00
2021-07-30,
2021-07-29,
2021-07-28,370.37
2021-07-27,
2021-07-26,355.75
2021-07-23,
2021-07-22,
2021-07-21,
2021-07-20,
2021-07-19,
2021-07-16,
2021-07-15,
2021-07-14,339.39
2021-07-13,.00
2021-07-12,
2021-07-09,359.47
2021-07-08,406.69
2021-07-07,401.70
2021-07-06,
2021-07-02,
2021-07-01,391.63
2021-06-30,420.54
2021-06-29,.00
2021-06-28,
2021-06-25,480.07
2021-06-24,
2021-06-23,
2021-06-22,
2021-06-21,.00
2021-06-18,509.90
2021-06-17,
2021-06-16,
2021-06-15,.00
2021-06-14,451.82
2021-06-11,524.69
2021-06-10,
2021-06-09,513.35
2021-06-08,
2021-06-07,
2021-06-04,
2021-06-03,
2021-06-02,500.79
2021-06-01,
2021-05-28,522.91
2021-05-27,
2021-05-26,
2021-05-25,
2021-05-24,
2021-05-21,476.67
2021-05-20,
2021-05-19,494.24
2021-05-18,.00
2021-05-17,
2021-05-14,497.43
2021-05-13,
2021-05-12,
2021-05-11,
2021-05-10,.00
2021-05-07,502.55
2021-05-06,
2021-05-05,480.32
2021-05-04,
2021-05-03,.00
2021-04-30,
2021-04-29,
2021-04-28,.00
2021-04-27,450.00
2021-04-26,
2021-04-23,
2021-04-22,442.97
2021-04-21,426.90
2021-04-20,
2021-04-19,426.99
2021-04-16,
2021-04-15,
2021-04-14,433.10
2021-04-13,
2021-04-12,.00
2021-04-09,
2021-04-08,
2021-04-07,370.43
2021-04-06,376.91
2021-04-05,
2021-04-02,
2021-04-01,
2021-03-31,
2021-03-30,
2021-03-29,.00
2021-03-26,
2021-03-25,315.38
2021-03-24,300.80
2021-03-23,316.20
2021-03-22,
2021-03-19,
2021-03-18,307.71
2021-03-17,305.64
2021-03-16,306.73
2021-03-15,
2021-03-12,302.94
2021-03-11,
2021-03-10,305.71
2021-03-09,
2021-03-08,
2021-03-05,
2021-03-04,
2021-03-03,
2021-03-02,
2021-03-01,
2021-02-26,
2021-02-25,
2021-02-24,
2021-02-23,
2021-02-22,
2021-02-19,297.06
2021-02-18,
2021-02-17,.00
2021-02-16,
2021-02-15,301.81
2021-02-12,
2021-02-11,309.24
2021-02-10,
2021-02-09,
2021-02-08,
2021-02-05,293.14
2021-02-04,
2021-02-03,307.44
2021-02-02,
2021-02-01,
2021-01-29,
2021-01-28,306.66
2021-01-27,
2021-01-26,
2021-01-25,257.45
2021-01-22,
2021-01-21,279.24
2021-01-20,
2021-01-19,
2021-01-18,
2021-01-15,259.71
2021-01-14,
2021-01-13,
2021-01-12,
2021-01-11,.00
2021-01-08,
2021-01-07,258.31
2021-01-06,265.20
2021-01-05,.00
2021-01-04,
2020-12-31,274.16
2020-12-30,274.78
2020-12-29,268.95
2020-12-28,
2020-12-23,
2020-12-22,.00
