slug_id,slug_name,report_title,published_date,markets,market_types,offices,sectionNames
2694,AMS_2694,"NE Monthly Direct Slaughter Cattle - Formula, Grid, and Contract Purchases (PDF) (LM_CT189)",06/07/2024 15:37:29,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail']"
2695,AMS_2695,"CO Monthly Direct Slaughter Cattle - Formula, Grid, and Contract Purchases (PDF) (LM_CT190)",06/07/2024 15:39:27,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail']"
2696,AMS_2696,"IA-MN Monthly Direct Slaughter Cattle - Formula, Grid, and Contract Purchases (PDF) (LM_CT191)",06/07/2024 15:40:58,['LMR'],['Direct Livestock - LMR Cattle'],"['St Joseph, MO']","['Summary', 'Detail']"
2701,AMS_2701,National Weekly Direct Swine Non-Carcass Merit Premiums (PDF) (LM_HG250),07/01/2024 15:22:11,['LMR'],['Direct Livestock - LMR Swine'],"['Des Moines, IA']","['Summary', 'Detail']"
2702,AMS_2702,National Weekly Pork Report FOB Plant - Specialty (PDF) (LSWLM_PK650),07/01/2024 09:18:52,['LMR'],['Direct Livestock - LMR Pork'],"['Des Moines, IA']","['Summary', 'Current Volume', 'Primal Volumes', 'Primal Loads', 'Loin Cuts', 'Butt Cuts', 'Picnic Cuts', 'Ham Cuts', 'Belly Cuts', 'Sparerib Cuts', 'Jowl Cuts', 'Trim Cuts', 'Variety Cuts', 'Added Ingredients Cuts']"
2703,AMS_2703,National Weekly Pork Report FOB Omaha - Specialty (PDF) (LSWLM_PK651),07/01/2024 09:19:05,['LMR'],['Direct Livestock - LMR Pork'],"['Des Moines, IA']","['Summary', 'Current Volume', 'Primal Volumes', 'Primal Loads', 'Loin Cuts', 'Butt Cuts', 'Picnic Cuts', 'Ham Cuts', 'Belly Cuts', 'Sparerib Cuts', 'Jowl Cuts', 'Trim Cuts', 'Variety Cuts', 'Added Ingredients Cuts']"
2989,DYMADVANCEDPRICES,Announcement of Advanced Prices and Pricing Factors (PDF),06/20/2024 13:05:24,['Non Mars Location'],['LMR Dairy'],['Dairy MMR'],"['Summary', 'Detail']"
2991,DYMCLASSPRICES,Announcement of Class and Component Prices (PDF),06/05/2024 13:05:24,['Non Mars Location'],['LMR Dairy'],['Dairy MMR'],"['Summary', 'Detail']"
2993,DYWDAIRYPRODUCTSSALES,National Dairy Products Sales Report (PDF),06/26/2024 13:04:23,['Non Mars Location'],['LMR Dairy'],['Dairy MMR'],"['Summary', 'Butter Prices and Sales', '40 Pound Block Cheddar Cheese Prices and Sales', '500 Pound Barrel Cheddar Cheese Prices, Sales, and Moisture Content', 'Dry Whey Prices and Sales', 'Nonfat Dry Milk Prices and Sales', 'Final Butter Prices and Sales', 'Final 40 Pound Block Cheddar Cheese Prices and Sales', 'Final 500 Pound Barrel Cheddar Cheese Prices, Sales, and Moisture Content', 'Final Dry Whey Prices and Sales', 'Final Nonfat Dry Milk Prices and Sales']"
3345,AMS_3345,Class I Prices,06/28/2024 07:34:00,['Non Mars Location'],['FMMOS'],['Dairy FMMOS'],"['Summary', 'Milk', 'Butterfat', 'Skim']"
3346,AMS_3346,Class I Utilization,06/28/2024 07:41:00,['Non Mars Location'],['FMMOS'],['Dairy FMMOS'],"['Summary', 'Milk', 'Utilization', 'Butterfat', 'NFS']"
3347,AMS_3347,Class II Utilization,06/28/2024 07:46:00,['Non Mars Location'],['FMMOS'],['Dairy FMMOS'],"['Summary', 'Milk', 'Utilization', 'Butterfat', 'NFS']"
3348,AMS_3348,Class III Utilization,06/28/2024 07:50:00,['Non Mars Location'],['FMMOS'],['Dairy FMMOS'],"['Summary', 'Milk', 'Utilization', 'Butterfat', 'Protein', 'Other Solids']"
3349,AMS_3349,Class IV Utilization,06/28/2024 07:55:00,['Non Mars Location'],['FMMOS'],['Dairy FMMOS'],"['Summary', 'Milk', 'Utilization', 'Butterfat', 'NFS']"
3350,AMS_3350,Total Receipts of Producer Milk,07/28/2023 11:01:00,['Non Mars Location'],['FMMOS'],['Dairy FMMOS'],"['Summary', 'Producers', 'Receipts', 'Avg Daily', 'Butterfat', 'NFS', 'Protein', 'Other Solids', 'SomCell']"
3351,AMS_3351,Uniform Milk Prices,06/28/2024 08:40:00,['Non Mars Location'],['FMMOS'],['Dairy FMMOS'],"['Summary', 'Milk', 'Butterfat', 'Skim', 'PPD']"
3352,AMS_3352,Price and Pool – Monthly,06/28/2024 05:33:00,['Non Mars Location'],['FMMOS'],['Dairy FMMOS'],"['Summary', 'Price and Pool Monthly']"
3353,AMS_3353,Price and Pool – Annual,02/14/2024 07:22:00,['Non Mars Location'],['FMMOS'],['Dairy FMMOS'],"['Summary', 'Price and Pool Annual']"
3354,AMS_3354,Advanced Prices by Order,06/20/2024 13:55:22,['Non Mars Location'],['FMMOS'],['Dairy FMMOS'],"['Summary', 'Advanced Class Prices by Order']"
3355,AMS_3355,Class Prices by Order,06/05/2024 13:54:12,['Non Mars Location'],['FMMOS'],['Dairy FMMOS'],"['Summary', 'Final Class Prices by Order']"
3356,AMS_3356,Retail Prices,06/28/2024 05:35:00,['Non Mars Location'],['FMMOS'],['Dairy FMMOS'],"['Summary', 'Conventional Whole Milk', 'Conventional Reduced Fat', 'Organic Whole Milk', 'Organic Reduced Fat']"
