total_pounds,weighted_average,report_date,item_description
"158,036","1,058.42",2016-06-02,tndrloin
"11,182",424.99,2016-06-02,butt_bnls
"14,591","1,078.45",2016-06-03,tndrloin
"8,353",425.15,2016-06-03,butt_bnls
"82,264","1,057.53",2016-06-06,tndrloin
"5,514",425.82,2016-06-06,butt_bnls
"75,944","1,048.56",2016-06-07,tndrloin
"5,306",417.04,2016-06-07,butt_bnls
"74,205","1,053.43",2016-06-08,tndrloin
"2,780",431.52,2016-06-08,butt_bnls
"1,929",428.51,2016-06-09,butt_bnls
"75,713","1,047.29",2016-06-09,tndrloin
"44,427","1,066.65",2016-06-10,tndrloin
"3,176",412.05,2016-06-10,butt_bnls
"52,650","1,061.20",2016-06-13,tndrloin
"129,298",336.72,2016-06-13,butt_bnls
"73,493","1,010.95",2016-06-14,tndrloin
"6,850",420.83,2016-06-14,butt_bnls
"68,084","1,024.47",2016-06-15,tndrloin
"2,925",403.34,2016-06-15,butt_bnls
,,2016-06-16,butt_bnls
"140,541","1,014.30",2016-06-16,tndrloin
"33,815","1,023.33",2016-06-17,tndrloin
"11,636",384.95,2016-06-17,butt_bnls
"55,241","1,030.01",2016-06-20,tndrloin
"10,897",355.90,2016-06-20,butt_bnls
"53,915","1,046.59",2016-06-21,tndrloin
"15,563",365.26,2016-06-21,butt_bnls
"265,020",946.76,2016-06-22,tndrloin
"7,054",358.36,2016-06-22,butt_bnls
"212,656",941.69,2016-06-23,tndrloin
"3,292",355.93,2016-06-23,butt_bnls
"10,674",338.68,2016-06-24,butt_bnls
"191,957",927.14,2016-06-24,tndrloin
"7,187",355.57,2016-06-27,butt_bnls
"275,811",899.64,2016-06-27,tndrloin
"90,125",944.80,2016-06-28,tndrloin
"8,388",350.02,2016-06-28,butt_bnls
"69,997",937.28,2016-06-29,tndrloin
"36,950",333.76,2016-06-29,butt_bnls
"96,883",956.45,2016-06-30,tndrloin
"1,501",364.18,2016-06-30,butt_bnls
"46,809",327.19,2016-07-01,butt_bnls
"140,122",950.35,2016-07-01,tndrloin
"26,984",968.29,2016-07-05,tndrloin
"6,364",361.90,2016-07-05,butt_bnls
"66,790",953.36,2016-07-06,tndrloin
"7,255",349.23,2016-07-06,butt_bnls
"50,795",970.64,2016-07-07,tndrloin
"35,860",341.94,2016-07-07,butt_bnls
"59,194",959.31,2016-07-08,tndrloin
"15,360",348.48,2016-07-08,butt_bnls
"66,112",969.87,2016-07-11,tndrloin
"1,033",360.27,2016-07-11,butt_bnls
"2,038",369.14,2016-07-12,butt_bnls
"74,660",977.42,2016-07-12,tndrloin
"50,068",983.66,2016-07-13,tndrloin
"4,352",368.22,2016-07-13,butt_bnls
"122,345","1,015.87",2016-07-14,tndrloin
"1,032",369.50,2016-07-14,butt_bnls
"97,932",992.50,2016-07-15,tndrloin
"25,672",350.82,2016-07-15,butt_bnls
"74,470",988.11,2016-07-18,tndrloin
"3,021",363.11,2016-07-18,butt_bnls
"12,714",355.69,2016-07-19,butt_bnls
"33,346",970.96,2016-07-19,tndrloin
"42,732","1,015.00",2016-07-20,tndrloin
"2,840",358.91,2016-07-20,butt_bnls
"82,312",982.81,2016-07-21,tndrloin
,,2016-07-21,butt_bnls
"19,927",985.44,2016-07-22,tndrloin
,,2016-07-22,butt_bnls
"56,233",985.39,2016-07-25,tndrloin
"4,620",359.33,2016-07-25,butt_bnls
"83,449",968.12,2016-07-26,tndrloin
"12,993",346.43,2016-07-26,butt_bnls
"197,264",953.57,2016-07-27,tndrloin
"15,824",349.95,2016-07-27,butt_bnls
"15,244",326.15,2016-07-28,butt_bnls
"45,545",997.34,2016-07-28,tndrloin
"50,475",334.61,2016-07-29,butt_bnls
"66,462",982.91,2016-07-29,tndrloin
"20,015",979.61,2016-08-01,tndrloin
"3,164",347.06,2016-08-01,butt_bnls
"30,833",991.04,2016-08-02,tndrloin
"4,462",355.97,2016-08-02,butt_bnls
"148,714","1,015.60",2016-08-03,tndrloin
"7,669",337.44,2016-08-03,butt_bnls
"34,621",335.58,2016-08-04,butt_bnls
"38,575",993.71,2016-08-04,tndrloin
"106,552",981.59,2016-08-05,tndrloin
"7,298",333.54,2016-08-05,butt_bnls
"73,423","1,015.00",2016-08-08,tndrloin
"5,220",355.65,2016-08-08,butt_bnls
"173,871",985.19,2016-08-09,tndrloin
"17,373",340.13,2016-08-09,butt_bnls
"82,435",993.57,2016-08-10,tndrloin
"12,045",343.63,2016-08-10,butt_bnls
"64,660","1,023.68",2016-08-11,tndrloin
"2,411",349.39,2016-08-11,butt_bnls
"3,042",344.75,2016-08-12,butt_bnls
"83,406",994.35,2016-08-12,tndrloin
"100,080",991.91,2016-08-15,tndrloin
"5,309",347.87,2016-08-15,butt_bnls
"76,714",980.22,2016-08-16,tndrloin
"3,536",370.26,2016-08-16,butt_bnls
"75,103",991.77,2016-08-17,tndrloin
"11,586",354.27,2016-08-17,butt_bnls
"43,347","1,012.70",2016-08-18,tndrloin
"3,593",353.75,2016-08-18,butt_bnls
,,2016-08-19,butt_bnls
"32,439","1,015.75",2016-08-19,tndrloin
"40,865","1,004.86",2016-08-22,tndrloin
"15,025",344.92,2016-08-22,butt_bnls
"39,871",985.09,2016-08-23,tndrloin
"2,307",372.04,2016-08-23,butt_bnls
"99,136",991.66,2016-08-24,tndrloin
"11,754",351.05,2016-08-24,butt_bnls
"56,583",994.44,2016-08-25,tndrloin
"7,000",354.90,2016-08-25,butt_bnls
"117,286",998.55,2016-08-26,tndrloin
