report_date,total_pounds
2021-09-22,
2021-09-21,7537
2021-09-20,
2021-09-17,
2021-09-16,
2021-09-15,7978
2021-09-14,
2021-09-13,
2021-09-10,
2021-09-09,
2021-09-08,
2021-09-07,
2021-09-03,
2021-09-02,
2021-09-01,2154
2021-08-31,
2021-08-30,
2021-08-27,2063
2021-08-26,
2021-08-25,
2021-08-24,2611
2021-08-23,
2021-08-20,
2021-08-19,
2021-08-18,
2021-08-17,
2021-08-16,
2021-08-13,
2021-08-12,
2021-08-11,5384
2021-08-10,2093
2021-08-09,
2021-08-06,
2021-08-05,10686
2021-08-04,14397
2021-08-03,
2021-08-02,
2021-07-30,
2021-07-29,
2021-07-28,3844
2021-07-27,
2021-07-26,10996
2021-07-23,
2021-07-22,
2021-07-21,
2021-07-20,
2021-07-19,
2021-07-16,
2021-07-15,
2021-07-14,11799
2021-07-13,
2021-07-12,
2021-07-09,7172
2021-07-08,6666
2021-07-07,3961
2021-07-06,
2021-07-02,
2021-07-01,9798
2021-06-30,2996
2021-06-29,
2021-06-28,
2021-06-25,1625
2021-06-24,
2021-06-23,
2021-06-22,
2021-06-21,
2021-06-18,2283
2021-06-17,
2021-06-16,
2021-06-15,
2021-06-14,7528
2021-06-11,3471
2021-06-10,
2021-06-09,3609
2021-06-08,
2021-06-07,
2021-06-04,
2021-06-03,
2021-06-02,8940
2021-06-01,
2021-05-28,5535
2021-05-27,
2021-05-26,
2021-05-25,
2021-05-24,
2021-05-21,5547
2021-05-20,
2021-05-19,6786
2021-05-18,
2021-05-17,
2021-05-14,9973
2021-05-13,
2021-05-12,
2021-05-11,
2021-05-10,
2021-05-07,2562
2021-05-06,
2021-05-05,1600
2021-05-04,
2021-05-03,
2021-04-30,
2021-04-29,
2021-04-28,
2021-04-27,3812
2021-04-26,
2021-04-23,
2021-04-22,2413
2021-04-21,4397
2021-04-20,
2021-04-19,10929
2021-04-16,
2021-04-15,
2021-04-14,3340
2021-04-13,
2021-04-12,
2021-04-09,
2021-04-08,
2021-04-07,2636
2021-04-06,3999
2021-04-05,
2021-04-02,
2021-04-01,
2021-03-31,
2021-03-30,
2021-03-29,
2021-03-26,
2021-03-25,2438
2021-03-24,3665
2021-03-23,6280
2021-03-22,
2021-03-19,
2021-03-18,3247
2021-03-17,4205
2021-03-16,10434
2021-03-15,
2021-03-12,3693
2021-03-11,
2021-03-10,10448
2021-03-09,
2021-03-08,
2021-03-05,
2021-03-04,
2021-03-03,
2021-03-02,
2021-03-01,
2021-02-26,
2021-02-25,
2021-02-24,
2021-02-23,
2021-02-22,
2021-02-19,13391
2021-02-18,
2021-02-17,
2021-02-16,
2021-02-15,5375
2021-02-12,
2021-02-11,8054
2021-02-10,
2021-02-09,
2021-02-08,
2021-02-05,7616
2021-02-04,
2021-02-03,3621
2021-02-02,
2021-02-01,
