report_date,total_pounds
2021-07-30,53427
2021-07-29,60527
2021-07-28,135641
2021-07-27,208497
2021-07-26,45162
2021-07-23,93243
2021-07-22,110827
2021-07-21,143398
2021-07-20,235029
2021-07-19,105099
2021-07-16,195945
2021-07-15,60698
2021-07-14,292414
2021-07-13,40902
2021-07-12,114090
2021-07-09,75870
2021-07-08,79231
2021-07-07,141704
2021-07-06,29880
2021-07-02,35294
2021-07-01,52955
2021-06-30,47199
2021-06-29,152611
2021-06-28,39154
2021-06-25,55407
2021-06-24,96009
2021-06-23,111170
2021-06-22,61547
2021-06-21,41858
2021-06-18,85848
2021-06-17,84067
2021-06-16,65802
2021-06-15,27419
2021-06-14,27274
2021-06-11,45928
2021-06-10,58119
2021-06-09,62257
2021-06-08,25902
2021-06-07,20245
2021-06-04,33693
2021-06-03,102658
2021-06-02,77821
2021-06-01,102364
2021-05-28,35010
2021-05-27,90300
2021-05-26,47446
2021-05-25,23786
2021-05-24,87720
2021-05-21,32507
2021-05-20,32044
2021-05-19,46521
2021-05-18,49870
2021-05-17,18751
2021-05-14,137393
2021-05-13,169390
2021-05-12,26750
2021-05-11,28462
2021-05-10,19879
2021-05-07,25005
2021-05-06,120695
2021-05-05,32650
2021-05-04,39171
2021-05-03,49622
2021-04-30,23920
2021-04-29,77410
2021-04-28,52209
2021-04-27,93122
2021-04-26,34813
2021-04-23,55840
2021-04-22,14973
2021-04-21,33220
2021-04-20,15633
2021-04-19,65765
2021-04-16,58092
2021-04-15,130872
2021-04-14,19320
2021-04-13,39577
2021-04-12,55967
2021-04-09,55349
2021-04-08,127178
2021-04-07,55781
2021-04-06,19575
2021-04-05,11992
2021-04-02,20836
2021-04-01,127698
2021-03-31,30213
2021-03-30,57811
2021-03-29,53485
2021-03-26,42776
2021-03-25,101720
2021-03-24,44391
2021-03-23,69771
2021-03-22,64498
2021-03-19,79605
2021-03-18,68749
2021-03-17,139226
2021-03-16,85823
2021-03-15,67587
2021-03-12,89873
2021-03-11,116625
2021-03-10,138969
2021-03-09,123971
2021-03-08,69607
2021-03-05,61507
2021-03-04,202254
2021-03-03,142334
2021-03-02,53565
2021-03-01,48751
2021-02-26,25184
2021-02-25,202204
2021-02-24,67650
2021-02-23,28827
2021-02-22,67932
2021-02-19,114955
2021-02-18,145975
2021-02-17,135383
2021-02-16,149747
2021-02-15,180972
2021-02-12,95801
2021-02-11,298214
2021-02-10,88791
2021-02-09,100188
2021-02-08,18656
2021-02-05,54370
2021-02-04,121626
2021-02-03,38856
2021-02-02,22391
2021-02-01,13848
2021-01-29,63924
2021-01-28,207439
2021-01-27,157008
2021-01-26,73059
2021-01-25,13088
2021-01-22,179097
2021-01-21,176413
2021-01-20,106941
2021-01-19,165093
2021-01-18,114873
2021-01-15,51063
2021-01-14,159602
2021-01-13,238078
2021-01-12,183048
2021-01-11,178455
2021-01-08,89117
2021-01-07,519148
2021-01-06,141086
2021-01-05,197703
2021-01-04,19724
2020-12-31,83757
2020-12-30,97418
2020-12-29,45928
2020-12-28,245341
2020-12-23,153857
2020-12-22,173474
2020-12-21,59665
2020-12-18,27156
2020-12-17,93352
2020-12-16,615420
2020-12-15,88793
2020-12-14,135987
2020-12-11,106160
2020-12-10,144629
2020-12-09,75004
2020-12-08,41636
2020-12-07,70007
2020-12-04,50050
2020-12-03,170302
2020-12-02,94936
2020-12-01,38928
2020-11-30,49150
2020-11-27,12970
2020-11-25,61317
2020-11-24,303339
2020-11-23,99720
2020-11-20,162941
2020-11-19,173340
2020-11-18,190416
2020-11-17,61872
2020-11-16,46022
2020-11-13,322186
2020-11-12,22824
2020-11-11,66702
2020-11-10,189152
2020-11-09,180251
2020-11-06,70088
2020-11-05,186639
2020-11-04,335383
2020-11-03,60643
2020-11-02,42132
2020-10-30,71796
2020-10-29,131949
2020-10-28,164107
2020-10-27,3662
2020-10-26,66656
2020-10-23,43180
2020-10-22,56955
2020-10-21,67079
2020-10-20,25718
2020-10-19,14525
2020-10-16,41597
2020-10-15,383208
2020-10-14,366377
