report_date,total_pounds
2021-08-12,
2021-08-11,22327
2021-08-10,
2021-08-09,
2021-08-06,30264
2021-08-05,
2021-08-04,26271
2021-08-03,
2021-08-02,5861
2021-07-30,
2021-07-29,
2021-07-28,34558
2021-07-27,3457
2021-07-26,15023
2021-07-23,20428
2021-07-22,1523
2021-07-21,91676
2021-07-20,3828
2021-07-19,
2021-07-16,
2021-07-15,25697
2021-07-14,99253
2021-07-13,101899
2021-07-12,21213
2021-07-09,6874
2021-07-08,
2021-07-07,14927
2021-07-06,93950
2021-07-02,64366
2021-07-01,4299
2021-06-30,11422
2021-06-29,
2021-06-28,
2021-06-25,7656
2021-06-24,326465
2021-06-23,11149
2021-06-22,
2021-06-21,11550
2021-06-18,16176
2021-06-17,42589
2021-06-16,6154
2021-06-15,3738
2021-06-14,
2021-06-11,
2021-06-10,2487
2021-06-09,5222
2021-06-08,4918
2021-06-07,6899
2021-06-04,7942
2021-06-03,218150
2021-06-02,28594
2021-06-01,
2021-05-28,
2021-05-27,4502
2021-05-26,19129
2021-05-25,6098
2021-05-24,3068
2021-05-21,
2021-05-20,57700
2021-05-19,20966
2021-05-18,
2021-05-17,
2021-05-14,
2021-05-13,
2021-05-12,13965
2021-05-11,18693
2021-05-10,
2021-05-07,
2021-05-06,8111
2021-05-05,8350
2021-05-04,135534
2021-05-03,
2021-04-30,
2021-04-29,36486
2021-04-28,40950
2021-04-27,2528
2021-04-26,
2021-04-23,27802
2021-04-22,15598
2021-04-21,2174
2021-04-20,4370
2021-04-19,2836
2021-04-16,10759
2021-04-15,7291
2021-04-14,
2021-04-13,92365
2021-04-12,131480
2021-04-09,9199
2021-04-08,3295
2021-04-07,20229
2021-04-06,45609
2021-04-05,7259
2021-04-02,9093
2021-04-01,
2021-03-31,5399
2021-03-30,
2021-03-29,
2021-03-26,4064
2021-03-25,
2021-03-24,
2021-03-23,8918
2021-03-22,103402
2021-03-19,3021
2021-03-18,28474
2021-03-17,20340
2021-03-16,
2021-03-15,1920
2021-03-12,9450
2021-03-11,25949
2021-03-10,66067
2021-03-09,6083
2021-03-08,27922
2021-03-05,83573
2021-03-04,22602
2021-03-03,
2021-03-02,
2021-03-01,
2021-02-26,
2021-02-25,40868
2021-02-24,
2021-02-23,3933
2021-02-22,
2021-02-19,
2021-02-18,126102
2021-02-17,
2021-02-16,
2021-02-15,18896
2021-02-12,
2021-02-11,
2021-02-10,78847
2021-02-09,25218
2021-02-08,
2021-02-05,62040
2021-02-04,12269
2021-02-03,11604
2021-02-02,54246
2021-02-01,
2021-01-29,
2021-01-28,
2021-01-27,
2021-01-26,84304
2021-01-25,
2021-01-22,82656
2021-01-21,
2021-01-20,12292
2021-01-19,84934
2021-01-18,
2021-01-15,33867
2021-01-14,
2021-01-13,2766
2021-01-12,96452
2021-01-11,23151
2021-01-08,288561
2021-01-07,66887
2021-01-06,7995
2021-01-05,8480
2021-01-04,26380
2020-12-31,
2020-12-30,
2020-12-29,7580
2020-12-28,12982
2020-12-23,
2020-12-22,31564
2020-12-21,
2020-12-18,
2020-12-17,
2020-12-16,
2020-12-15,
2020-12-14,6103
2020-12-11,
2020-12-10,
2020-12-09,34131
2020-12-08,
2020-12-07,2033
2020-12-04,
2020-12-03,
2020-12-02,47040
2020-12-01,262955
2020-11-30,
2020-11-27,
2020-11-25,
2020-11-24,
2020-11-23,
2020-11-20,
2020-11-19,5674
2020-11-18,
2020-11-17,
2020-11-16,
2020-11-13,
2020-11-12,
2020-11-11,13670
2020-11-10,
2020-11-09,
2020-11-06,23392
2020-11-05,
2020-11-04,25935
2020-11-03,
2020-11-02,2556
2020-10-30,
2020-10-29,77459
2020-10-28,58537
2020-10-27,174923
2020-10-26,255683
2020-10-23,
2020-10-22,87407
2020-10-21,36128
2020-10-20,7656
2020-10-19,172790
2020-10-16,
2020-10-15,9333
2020-10-14,14061
2020-10-13,67166
2020-10-12,163146
2020-10-09,82272
2020-10-08,56000
2020-10-07,338242
2020-10-06,
2020-10-05,11536
2020-10-02,
2020-10-01,
2020-09-30,11607
2020-09-29,
2020-09-28,5138
2020-09-25,
2020-09-24,
2020-09-23,20602
2020-09-22,126117
2020-09-21,9871
2020-09-18,139218
2020-09-17,
2020-09-16,14380
2020-09-15,122904
2020-09-14,4686
2020-09-11,
2020-09-10,
2020-09-09,2839
2020-09-08,11447
2020-09-04,
2020-09-03,
2020-09-02,4317
2020-09-01,4108
2020-08-31,
2020-08-28,
2020-08-27,
2020-08-26,6944
2020-08-25,13495
2020-08-24,7387
2020-08-21,31850
2020-08-20,33713
2020-08-19,16224
2020-08-18,1605
2020-08-17,3272
2020-08-14,
2020-08-13,
2020-08-12,64411
2020-08-11,
2020-08-10,
2020-08-07,
2020-08-06,19957
2020-08-05,31282
2020-08-04,
2020-08-03,
2020-07-31,
2020-07-30,14406
2020-07-29,2643
2020-07-28,
2020-07-27,
2020-07-24,
2020-07-23,22447
2020-07-22,6183
2020-07-21,
2020-07-20,
2020-07-17,
2020-07-16,5965
2020-07-15,200301
2020-07-14,110779
2020-07-13,
2020-07-10,
2020-07-09,
2020-07-08,256053
2020-07-07,53725
2020-07-06,52548
2020-07-02,7367
2020-07-01,5132
2020-06-30,
2020-06-29,101943
2020-06-26,24647
2020-06-25,93812
2020-06-24,11798
2020-06-23,16087
2020-06-22,5090
2020-06-19,
2020-06-18,1291
2020-06-17,
2020-06-16,528728
2020-06-15,
2020-06-12,21744
2020-06-11,
2020-06-10,1695
2020-06-09,
2020-06-08,3507
2020-06-05,
2020-06-04,
2020-06-03,
2020-06-02,
2020-06-01,
2020-05-29,
2020-05-28,
2020-05-27,
2020-05-26,
2020-05-22,
2020-05-21,
2020-05-20,
2020-05-19,
2020-05-18,
2020-05-15,
2020-05-14,
2020-05-13,
2020-05-12,
2020-05-11,
2020-05-08,
2020-05-07,
2020-05-06,
2020-05-05,
2020-05-04,
2020-05-01,
2020-04-30,
2020-04-29,
2020-04-28,
2020-04-27,
2020-04-24,
2020-04-23,
2020-04-22,
2020-04-21,
2020-04-20,
2020-04-17,218519
2020-04-16,36651
2020-04-15,
2020-04-14,28175
2020-04-13,
2020-04-10,92298
2020-04-09,60525
2020-04-08,
2020-04-07,
2020-04-06,
2020-04-03,196800
2020-04-02,
2020-04-01,
2020-03-31,
2020-03-30,
2020-03-27,
2020-03-26,
2020-03-25,
2020-03-24,
2020-03-23,56202
2020-03-20,109385
2020-03-19,
2020-03-18,47694
2020-03-17,
2020-03-16,
2020-03-13,
2020-03-12,109137
2020-03-11,5806
2020-03-10,
2020-03-09,
2020-03-06,171107
2020-03-05,24342
2020-03-04,21150
2020-03-03,
2020-03-02,47569
2020-02-28,12334
2020-02-27,11179
2020-02-26,
2020-02-25,8917
2020-02-24,1613
2020-02-21,
2020-02-20,13637
2020-02-19,244647
2020-02-18,
2020-02-17,
2020-02-14,
2020-02-13,2283
2020-02-12,45488
2020-02-11,
2020-02-10,8420
